model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv1d_layers,filters,kernel_size,padding,activation,kernel_initializer,add_pooling_0,pool_size,strides,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha,add_pooling_1,add_pooling_2
buy_trials_Conv1D,095,5.185301303863525,0.9945703148841858,0.9945507645606995,1.493956570625305,3,32,7,same,relu,he_normal,True,2,2,1,32,he_normal,0.5,0.00036959084714747456,1.0,0.8,False,True
buy_trials_Conv1D,096,2.922957181930542,0.9950390458106995,0.9948632717132568,1.492116088628769,3,32,7,valid,relu,he_normal,True,2,1,2,32,he_normal,0.1,0.01,3.0,0.5,True,False
buy_trials_Conv1D,097,2.619889497756958,0.9950390458106995,0.9949804544448853,1.4924191563129425,3,128,7,valid,relu,he_normal,False,2,1,1,32,he_normal,0.5,0.01,2.5,0.1,True,True
buy_trials_Conv1D,098,3.8656399250030518,0.9939062595367432,0.9925976395606995,1.4879451289176941,3,32,7,valid,relu,he_normal,True,3,2,1,32,he_normal,0.1,0.00017863688771194752,1.0,0.1,False,True
buy_trials_Conv1D,099,1.6698198318481445,0.9950390458106995,0.9949414134025574,1.4933692259788514,1,32,7,same,relu,he_normal,False,3,1,1,32,zeros,0.5,0.01,1.0,0.9,False,True
buy_trials_Conv1D,100,2.08695650100708,0.9950390458106995,0.9948046803474426,1.4929520893096924,3,32,3,same,gelu,glorot_normal,False,3,2,1,32,he_normal,0.5,0.01,1.0,0.9,False,True
buy_trials_Conv1D,101,2.2793588638305664,0.9950390458106995,0.9950000047683716,1.492759686946869,1,32,7,same,relu,he_normal,True,3,2,1,32,he_normal,0.5,0.01,1.0,0.1,False,True
buy_trials_Conv1D,102,1.6361825466156006,0.9950390458106995,0.9948632717132568,1.493402863264084,3,32,3,valid,relu,glorot_normal,False,2,1,1,32,zeros,0.1,0.01,1.0,0.1,False,False
buy_trials_Conv1D,103,4.024855136871338,0.9950390458106995,0.9950000047683716,1.4914853057861328,3,32,3,same,relu,glorot_normal,False,2,2,1,32,he_normal,0.5,0.0019553165485282254,1.0,0.1,True,False
buy_trials_Conv1D,104,2.129748821258545,0.9950390458106995,0.9950000047683716,1.4929092969894409,3,128,3,valid,relu,glorot_normal,False,2,1,1,32,he_normal,0.1,0.01,2.0,0.1,False,False
buy_trials_Conv1D,105,2.7864816188812256,0.9950390458106995,0.9950000047683716,1.4922525641918183,1,32,7,valid,relu,glorot_normal,False,3,2,2,32,zeros,0.5,0.01,1.0,0.1,False,True
buy_trials_Conv1D,106,2.602797508239746,0.9950390458106995,0.9951367378234863,1.4924362483024598,1,32,7,same,relu,glorot_normal,False,3,2,2,32,zeros,0.1,0.01,1.0,0.9,False,True
buy_trials_Conv1D,107,1.8264137506484985,0.9950390458106995,0.9947851300239563,1.493212632060051,1,32,7,valid,relu,he_normal,False,3,2,1,32,zeros,0.1,0.01,1.0,0.1,True,False
buy_trials_Conv1D,108,1.6823443174362183,0.9950390458106995,0.994921863079071,1.493376371026039,1,32,7,same,gelu,glorot_normal,True,2,2,1,32,zeros,0.5,0.01,1.0,0.1,False,True
buy_trials_Conv1D,109,2.2544572353363037,0.9950390458106995,0.9949804544448853,1.4927845885753632,3,128,3,same,gelu,glorot_normal,False,2,2,1,32,he_normal,0.5,0.01,1.0,0.1,False,True
buy_trials_Conv1D,110,4.184361457824707,0.9950390458106995,0.9951367378234863,1.4906387665271759,3,32,3,valid,relu,glorot_normal,True,3,1,1,32,zeros,0.1,0.0019469808121302383,1.0,0.9,True,True
buy_trials_Conv1D,111,6.307128429412842,0.9950390458106995,0.9951367378234863,1.4886730279922484,3,32,7,valid,relu,he_normal,True,2,1,1,32,he_normal,0.1,0.0008950139995767453,1.0,0.6,False,False
buy_trials_Conv1D,112,2.401139259338379,0.9950390458106995,0.9948828220367432,1.4957902173995972,3,96,7,same,gelu,glorot_normal,True,2,2,1,32,he_normal,0.5,0.01,3.0,0.9,False,True
buy_trials_Conv1D,113,2.327451229095459,0.9950390458106995,0.9950195550918579,1.481911203145981,3,32,7,valid,relu,he_normal,True,2,2,1,32,zeros,0.1,0.0007733214630652838,1.0,0.1,True,True
buy_trials_Conv1D,114,3.8443703651428223,0.9948828220367432,0.9943749904632568,1.4909403126239777,3,32,7,same,relu,he_normal,True,3,2,1,32,zeros,0.5,0.0004304063404536548,3.0,0.9,True,True
buy_trials_Conv1D,115,10.100813865661621,0.9942578077316284,0.99365234375,1.4862861909866334,3,128,7,valid,relu,glorot_normal,True,2,2,1,32,zeros,0.1,0.0001,1.0,0.9,False,False
buy_trials_Conv1D,116,3.728715181350708,0.8282812237739563,0.8234765529632568,1.3000565493106842,3,32,3,valid,relu,he_normal,True,3,2,1,32,zeros,0.5,0.0001,1.0,0.1,True,True
buy_trials_Conv1D,117,5.119551181793213,0.9797656536102295,0.9780077934265137,1.483191381931305,3,32,3,valid,relu,he_normal,True,3,2,1,32,zeros,0.5,0.0001,1.0,0.9,False,True
buy_trials_Conv1D,118,7.326858043670654,0.9798437356948853,0.9775000214576721,1.4741594624519347,3,32,3,valid,relu,he_normal,True,3,2,1,32,zeros,0.1,0.0001,1.0,0.1,False,False
buy_trials_Conv1D,119,2.5558173656463623,0.9950390458106995,0.9948828220367432,1.4933468997478485,3,32,7,valid,relu,glorot_normal,True,2,2,1,32,he_normal,0.1,0.0007737451518278267,3.0,0.1,True,False
buy_trials_Conv1D,120,2.372455358505249,0.7151562571525574,0.7020898461341858,1.2297846558094025,3,32,7,valid,relu,he_normal,True,3,2,1,32,zeros,0.30000000000000004,0.0001,3.0,0.1,True,True
buy_trials_Conv1D,121,1.6064438819885254,0.9750390648841858,0.9711132645606995,1.4653916862010956,3,32,7,valid,relu,glorot_normal,True,3,2,1,32,zeros,0.5,0.0001,2.5,0.5,True,True
