model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_GRU_layers,units_first,activation,kernel_initializer,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_GRU,085,20.553312301635742,0.9950390458106995,0.9949023723602295,1.4744857335090638,1,32,relu,glorot_normal,0.4,0.4,1,32,he_normal,0.5,0.01,1.0,0.9
buy_trials_GRU,086,58.89369201660156,0.9950390458106995,0.9948046803474426,1.4361453537940978,3,32,relu,glorot_normal,0.4,0.4,1,32,zeros,0.1,0.0001,1.0,0.9
buy_trials_GRU,087,80.87508392333984,0.9950390458106995,0.9950195550918579,1.4141639618873596,3,32,relu,glorot_normal,0.1,0.4,2,128,zeros,0.1,0.01,1.0,0.9
buy_trials_GRU,088,32.52112579345703,0.004960937425494194,0.5008593797683716,0.4723416725844145,1,32,relu,glorot_normal,0.4,0.1,1,32,he_normal,0.5,0.00035699767263957626,1.0,0.1
buy_trials_GRU,089,22.871721267700195,0.9950390458106995,0.9950000047683716,1.4721673245429994,1,32,relu,he_normal,0.1,0.4,1,128,zeros,0.1,0.004899079765687608,3.0,0.9
buy_trials_GRU,090,61.749229431152344,0.9950390458106995,0.9949414134025574,1.433289816379547,3,32,relu,glorot_normal,0.4,0.25,1,32,zeros,0.1,0.0001,3.0,0.1
buy_trials_GRU,091,445.4219665527344,0.9950390458106995,0.8372265696525574,1.049617079257965,3,32,relu,glorot_normal,0.4,0.1,1,32,he_normal,0.1,0.0001,1.0,0.9
buy_trials_GRU,092,28.066787719726562,0.9950390458106995,0.994824230670929,1.466972258090973,3,32,relu,glorot_normal,0.4,0.1,1,32,zeros,0.1,0.01,1.0,0.1
buy_trials_GRU,093,95.25825500488281,0.9950390458106995,0.994921863079071,1.3997807908058166,3,32,relu,glorot_normal,0.4,0.4,2,128,zeros,0.1,0.0001,1.0,0.9
buy_trials_GRU,094,307.8438415527344,0.9950390458106995,0.9629882574081421,1.1870381758213044,1,128,relu,glorot_normal,0.4,0.4,2,128,zeros,0.1,0.0001,3.0,0.9
buy_trials_GRU,095,30.787612915039062,0.9950390458106995,0.9949414134025574,1.4642514328956604,1,32,relu,glorot_normal,0.4,0.1,2,128,zeros,0.5,0.003424703174882644,1.0,0.1
buy_trials_GRU,096,279.5906066894531,0.9950390458106995,0.9938867092132568,1.2189928889274597,1,128,relu,glorot_normal,0.4,0.4,1,128,zeros,0.1,0.0001,3.0,0.1
buy_trials_GRU,097,25.205821990966797,0.9950390458106995,0.9950195550918579,1.4698332238197327,1,32,relu,he_normal,0.4,0.1,1,32,zeros,0.1,0.0019274609177620066,3.0,0.1
buy_trials_GRU,098,15.864921569824219,0.9950390458106995,0.9948828220367432,1.4791741242408754,1,32,relu,he_normal,0.1,0.4,1,32,he_normal,0.2,0.01,1.0,0.9
buy_trials_GRU,099,41.41099166870117,0.9950390458106995,0.9949414134025574,1.4536280541419984,1,32,relu,glorot_normal,0.4,0.4,1,32,zeros,0.5,0.0001,3.0,0.1
buy_trials_GRU,100,105.03264617919922,0.9950390458106995,0.8727148175239563,1.3935309414863586,1,32,relu,glorot_normal,0.4,0.4,1,128,he_normal,0.1,0.0001,1.0,0.9
buy_trials_GRU,101,309.1186218261719,0.9950390458106995,0.9950195550918579,1.1859204239845276,3,32,relu,glorot_normal,0.1,0.4,1,32,he_normal,0.1,0.01,1.0,0.1
buy_trials_GRU,102,44.46464920043945,0.9950390458106995,0.9949609637260437,1.45057439661026,1,32,relu,glorot_normal,0.4,0.4,2,32,zeros,0.1,0.0001,3.0,0.1
buy_trials_GRU,103,167.6665802001953,0.9950390458106995,0.688281238079071,1.3342905383110046,1,32,relu,glorot_normal,0.1,0.4,2,128,he_normal,0.1,0.0001,1.0,0.1
