confluence_score_loss,confluence_score_mae,confluence_score_mse,directional_bias_loss,directional_bias_mae,directional_bias_mse,loss,val_confluence_score_loss,val_confluence_score_mae,val_confluence_score_mse,val_directional_bias_loss,val_directional_bias_mae,val_directional_bias_mse,val_loss,learning_rate
0.07419034093618393,0.24617460370063782,0.07419034093618393,0.0004463134682737291,0.017073342576622963,0.0004463134682737291,0.07454739511013031,0.24404926598072052,0.49401339888572693,0.24404926598072052,0.0004737239796668291,0.020533377304673195,0.0004737239796668291,0.24442824721336365,0.0010000000474974513
0.07409662008285522,0.2460089474916458,0.07409662008285522,0.0004455016751307994,0.017143161967396736,0.0004455016751307994,0.07445301860570908,0.24380400776863098,0.49376511573791504,0.24380400776863098,0.0004869815893471241,0.020853709429502487,0.0004869815893471241,0.24419359862804413,0.0010000000474974513
0.07400307804346085,0.24584341049194336,0.07400307804346085,0.00044487728155218065,0.017214348539710045,0.00044487728155218065,0.0743589773774147,0.24355891346931458,0.49351686239242554,0.24355891346931458,0.0005002918187528849,0.021170439198613167,0.0005002918187528849,0.24395914375782013,0.0010000000474974513
0.0739096999168396,0.2456779181957245,0.0739096999168396,0.0004444615915417671,0.017284730449318886,0.0004444615915417671,0.07426527142524719,0.24331410229206085,0.49326878786087036,0.24331410229206085,0.0005132576916366816,0.021474482491612434,0.0005132576916366816,0.24372470378875732,0.0010000000474974513
0.07381650805473328,0.24551254510879517,0.07381650805473328,0.00044425137457437813,0.01735229790210724,0.00044425137457437813,0.07417190819978714,0.24306948482990265,0.49302077293395996,0.24306948482990265,0.0005254987627267838,0.02175762876868248,0.0005254987627267838,0.24348989129066467,0.0010000000474974513
0.0737234503030777,0.24534718692302704,0.0737234503030777,0.00044422183418646455,0.0174314696341753,0.00044422183418646455,0.07407882809638977,0.24282518029212952,0.4927729666233063,0.24282518029212952,0.0005366651457734406,0.0220127422362566,0.0005366651457734406,0.24325451254844666,0.0010000000474974513
0.07363059371709824,0.24518196284770966,0.07363059371709824,0.00044433254515752196,0.01751650497317314,0.00044433254515752196,0.07398606091737747,0.2425810992717743,0.492525190114975,0.2425810992717743,0.0005464522400870919,0.022233935073018074,0.0005464522400870919,0.243018239736557,0.0010000000474974513
0.0735379010438919,0.24501681327819824,0.0735379010438919,0.00044453388545662165,0.01759023778140545,0.00044453388545662165,0.07389352470636368,0.24233731627464294,0.49227768182754517,0.24233731627464294,0.0005546152242459357,0.022416753694415092,0.0005546152242459357,0.24278101325035095,0.0010000000474974513
0.0734454020857811,0.24485176801681519,0.0734454020857811,0.0004447741957847029,0.017651177942752838,0.0004447741957847029,0.07380121946334839,0.2420937716960907,0.49203023314476013,0.2420937716960907,0.0005609795334748924,0.022558262571692467,0.0005609795334748924,0.2425425499677658,0.0010000000474974513
0.07335306704044342,0.24468684196472168,0.07335306704044342,0.0004450060077942908,0.017698345705866814,0.0004450060077942908,0.07370907068252563,0.24185042083263397,0.49178290367126465,0.24185042083263397,0.0005654477281495929,0.022657083347439766,0.0005654477281495929,0.2423027753829956,0.0010000000474974513
0.07326087355613708,0.24452193081378937,0.07326087355613708,0.00044519174844026566,0.017731286585330963,0.00044519174844026566,0.07361702620983124,0.2416074275970459,0.4915357530117035,0.2416074275970459,0.0005680013564415276,0.02271336503326893,0.0005680013564415276,0.2420618236064911,0.0010000000474974513
0.07316890358924866,0.2443571835756302,0.07316890358924866,0.00044530624290928245,0.017750047147274017,0.00044530624290928245,0.07352514564990997,0.24136467278003693,0.4912887513637543,0.24136467278003693,0.0005686969961971045,0.022728675976395607,0.0005686969961971045,0.24181964993476868,0.0010000000474974513
0.07307707518339157,0.24419252574443817,0.07307707518339157,0.0004453384899534285,0.01775515265762806,0.0004453384899534285,0.07343334704637527,0.24112220108509064,0.49104195833206177,0.24112220108509064,0.0005676596774719656,0.022705843672156334,0.0005676596774719656,0.24157634377479553,0.0010000000474974513
0.0729854553937912,0.2440279871225357,0.0729854553937912,0.0004452905850484967,0.0177475418895483,0.0004452905850484967,0.07334169000387192,0.24087998270988464,0.49079522490501404,0.24087998270988464,0.0005650714738294482,0.022648775950074196,0.0005650714738294482,0.2413320243358612,0.0010000000474974513
